fips,county_name,shortage_type,count
17143,"Peoria County, Illinois",Mental Health,1
17145,"Perry County, Illinois",Primary Care,2
17145,"Perry County, Illinois",Dental,2
17145,"Perry County, Illinois",Mental Health,1
17147,"Piatt County, Illinois",Primary Care,0
17147,"Piatt County, Illinois",Dental,0
17147,"Piatt County, Illinois",Mental Health,1
17149,"Pike County, Illinois",Primary Care,1
17149,"Pike County, Illinois",Dental,2
17149,"Pike County, Illinois",Mental Health,1
17151,"Pope County, Illinois",Primary Care,1
17151,"Pope County, Illinois",Dental,2
17151,"Pope County, Illinois",Mental Health,1
17153,"Pulaski County, Illinois",Primary Care,1
17153,"Pulaski County, Illinois",Dental,2
17153,"Pulaski County, Illinois",Mental Health,1
17155,"Putnam County, Illinois",Primary Care,1
17155,"Putnam County, Illinois",Dental,1
17155,"Putnam County, Illinois",Mental Health,1
17157,"Randolph County, Illinois",Primary Care,2
17157,"Randolph County, Illinois",Dental,2
17157,"Randolph County, Illinois",Mental Health,1
17159,"Richland County, Illinois",Primary Care,2
17159,"Richland County, Illinois",Dental,2
17159,"Richland County, Illinois",Mental Health,1
17161,"Rock Island County, Illinois",Primary Care,2
17161,"Rock Island County, Illinois",Dental,2
17161,"Rock Island County, Illinois",Mental Health,1
17163,"St. Clair County, Illinois",Primary Care,2
17163,"St. Clair County, Illinois",Dental,2
17163,"St. Clair County, Illinois",Mental Health,1
17165,"Saline County, Illinois",Primary Care,2
17165,"Saline County, Illinois",Dental,2
17165,"Saline County, Illinois",Mental Health,1
17167,"Sangamon County, Illinois",Primary Care,2
17167,"Sangamon County, Illinois",Dental,2
17167,"Sangamon County, Illinois",Mental Health,2
17169,"Schuyler County, Illinois",Primary Care,1
17169,"Schuyler County, Illinois",Dental,2
17169,"Schuyler County, Illinois",Mental Health,1
17171,"Scott County, Illinois",Primary Care,1
17171,"Scott County, Illinois",Dental,2
17171,"Scott County, Illinois",Mental Health,1
17173,"Shelby County, Illinois",Primary Care,1
17173,"Shelby County, Illinois",Dental,2
17173,"Shelby County, Illinois",Mental Health,1
17175,"Stark County, Illinois",Primary Care,2
17175,"Stark County, Illinois",Dental,0
17175,"Stark County, Illinois",Mental Health,1
17177,"Stephenson County, Illinois",Primary Care,2
17177,"Stephenson County, Illinois",Dental,2
17177,"Stephenson County, Illinois",Mental Health,2
17179,"Tazewell County, Illinois",Primary Care,2
17179,"Tazewell County, Illinois",Dental,2
17179,"Tazewell County, Illinois",Mental Health,1
17181,"Union County, Illinois",Primary Care,2
17181,"Union County, Illinois",Dental,2
17181,"Union County, Illinois",Mental Health,1
17183,"Vermilion County, Illinois",Primary Care,2
17183,"Vermilion County, Illinois",Dental,2
17183,"Vermilion County, Illinois",Mental Health,1
17185,"Wabash County, Illinois",Primary Care,1
17185,"Wabash County, Illinois",Dental,1
17185,"Wabash County, Illinois",Mental Health,1
17187,"Warren County, Illinois",Primary Care,2
17187,"Warren County, Illinois",Dental,2
17187,"Warren County, Illinois",Mental Health,1
17189,"Washington County, Illinois",Primary Care,1
17189,"Washington County, Illinois",Dental,0
17189,"Washington County, Illinois",Mental Health,1
17191,"Wayne County, Illinois",Primary Care,2
17191,"Wayne County, Illinois",Dental,2
17191,"Wayne County, Illinois",Mental Health,1
17193,"White County, Illinois",Primary Care,2
17193,"White County, Illinois",Dental,2
17193,"White County, Illinois",Mental Health,1
17195,"Whiteside County, Illinois",Primary Care,2
17195,"Whiteside County, Illinois",Dental,2
17195,"Whiteside County, Illinois",Mental Health,1
17197,"Will County, Illinois",Primary Care,2
17197,"Will County, Illinois",Dental,2
17197,"Will County, Illinois",Mental Health,1
17199,"Williamson County, Illinois",Primary Care,2
17199,"Williamson County, Illinois",Dental,2
17199,"Williamson County, Illinois",Mental Health,1
17201,"Winnebago County, Illinois",Primary Care,2
17201,"Winnebago County, Illinois",Dental,2
17201,"Winnebago County, Illinois",Mental Health,2
17203,"Woodford County, Illinois",Primary Care,1
17203,"Woodford County, Illinois",Dental,2
17203,"Woodford County, Illinois",Mental Health,1
