fips,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity
17085,6364.3641937,4.0788619493,5.3896941752,7.8132181267,81.80067405,14.2,34.2,11.1
17087,9590.6166679,4.584252736,5.4568801535,8.2206113146,84.66005323,17.5,36.5,14.000000000000002
17089,6046.1993743,3.8638339638,4.9631474926,7.3709309155,75.74128256,12.1,37.3,10.2
17091,10618.202385,4.5458911962,5.4442820383,9.9930237381,68.77124343,17.1,40.300000000000004,13.4
17093,4542.991685,3.6607468003,4.8688117121,4.8814606496,84.17553789,11.1,36.4,7.6
17095,9889.1719168,4.6013183277,5.6793079876,13.980263158,69.78088129,18.8,38.800000000000004,14.7
17097,5609.8676602,3.5611268308,4.6444671192,7.9249806106,74.40310138000001,13.100000000000001,31.900000000000002,9.9
17099,8942.6861728,4.3562270815,5.464161333,12.676030274,73.91111504999999,16.6,36.6,13.4
17101,9520.841107,4.7223568444,5.6455964933,18.103795092,75.02770595,20.599999999999998,37.8,14.6
17103,7353.8901581,4.327436407,5.3920683357,12.408414087,73.26259154,18.5,37.5,13.3
17105,9425.1686192,4.3327219672,5.3699304928,16.046845528,73.90858081,18.6,38.2,12.2
17107,7077.9575666,4.2709682963,5.3762267299,14.497481063,69.29509081,18,38.800000000000004,12.7
17109,7860.0088444,4.6195135821,5.717672019,14.146904434,62.10884354,18.5,39.300000000000004,14.7
17111,5730.3529375,3.5933112994,4.5879797608,6.8324635041,82.57872069999999,13.4,34.2,9.2
17113,6618.4676035,3.8076345095,5.1039030113,11.452544978,65.21600649,14.299999999999999,35.4,10.9
17115,10948.534337,4.4431034273,5.5404546214,14.879339397,69.84584853,18.3,37.1,13.700000000000001
17117,9297.8558994,4.4753271548,5.7466582133,14.238897051,77.71212208,18.3,38.1,13.5
17119,9158.9616081,4.3409418943,5.4622647395,12.999120759,73.612469719999993,14.7,35.8,12
17121,12320.420379,4.6589220512,5.8379818216,20.859294577,74.45198836,20.1,38.5,15.1
17123,8393.2264042,4.414319254,5.6139005785,15.413598219,79.71394037,18.9,37,12.9
17125,10740.033781,4.4815271704,5.6450343414,15.688735488,80.55652783000001,16.1,35.199999999999996,14.099999999999998
17127,11124.178766000001,4.8408718145,5.8648955353,13.672999424,79.02225465000001,17.599999999999998,38,14.299999999999999
17129,6370.625201,4.0946602654,5.4286554819,9.900173253,79.42252166,16.8,35.3,11.1
17131,7042.0244561,4.3815513821,5.6469205082,14.189886481,82.72259473,16.400000000000002,36.8,11.200000000000001
17133,5616.5351036,3.5862109011,5.0419623278,14.272257586,83.79609544,12.4,32.6,8.4
17135,11025.13,4.4578602749,5.5934625397,13.561741613,76.26276076,19.1,36.199999999999996,14.2
17137,8190.3296948,4.5407988367,5.5497597757,12.729361359,71.64952381,17.599999999999998,37.3,13.5
17139,8829.9484264,4.4276711318,5.7071588748,11.869021853,77.43043628000001,17.299999999999997,35.6,10.9
17141,7241.4052423,4.1733060927,5.4272693286000004,12.46324317,74.51075139,18.5,35.9,12
17143,10362.346184,4.2284637759,5.2907403363,13.1739011,66.98757039,16.5,35.6,13.100000000000001
17145,9279.1909288,4.8033702345,5.6180233897,23.800272003,78.93420065,21.3,39.5,15.7
