fips,county_name,poverty_rate,median_hh_income,unemployment_rate,snap_rate,rent_burden_rate,pct_no_hs,pct_hs_grad,pct_bachelor_plus,uninsured_rate,obesity_pct,depression_pct,diabetes_pct,copd_pct,smoking_pct,mammography_pct,inactivity_pct,asthma_pct,uninsured_places,hypertension_pct,colorectal_screen_pct,svi_overall,svi_socioeco,svi_hh_char,svi_minority,svi_housing,pct_poverty,pct_unemp_svi,pct_uninsured_svi,eji_overall,eji_env_burden,eji_social_vuln,eji_health_vuln,n_tracts,hpsa_prim_care,hpsa_dental,hpsa_mental_health,hpsa_any_shortage,hpsa_prim_care_designated,pct_lila_tracts,mean_dist_supermarket,pct_no_vehicle_far,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity,n_districts,total_enrollment,pct_free_lunch,pct_reduced_lunch
17049,"Effingham County, Illinois",10.11,80404,2.08,12.16,30.12,0.48,26.54,26.88,5.3,34.3,22.5,11.3,7.7,14.1,72.7,22.8,10.2,7.3,35.2,62.5,0.2081,0.0452,0.6032,0.0455,0.6169,17.4,2.5,5.3,0.359,0.4616,0.3515,0.225,8,2,0,1,1,1,25,77.717,250.76,6573.048719,4.1300348833,5.4019899267,15.149308084,78.07555239,14.2,35.5,11.5,7,2243,NA,NA
17051,"Fayette County, Illinois",15.47,60944,3.77,11.63,40.2,1.55,33.05,17.18,7.3,39.8,22.4,12.7,9.2,17.4,69.2,26.7,10.4,9.8,37.6,58.7,0.5644,0.4391,0.6207,0.3118,0.7789,24,3.8,7.9,0.5461,0.4253,0.595,0.3429,7,2,2,1,1,1,71.43,97.4874,323.85,7667.6998903,4.6104351737,5.6883843847,15.019948369,80.20939734,16.5,37.2,14.2,11,3124,NA,NA
17053,"Ford County, Illinois",12.42,62439,5.46,14.45,38.14,1.83,31.85,18.86,5.7,37.7,22.9,12.4,8.7,15.8,68.5,25.6,10.6,8.5,37.1,63,0.3824,0.3449,0.5667,0.2536,0.4263,20.8,4.7,6.6,0.549,0.464,0.5122,0.4,5,2,0,1,1,1,20,83.3771,254.4,9100.8995087,4.3962918125,5.6076823027,15.850252849,74.10963686999999,17.8,38,13,5,1868,NA,NA
17055,"Franklin County, Illinois",17.51,56740,7.65,25.85,42.97,1.23,25.3,15.76,7.3,41.6,23.7,13.9,10.2,17.7,64.1,27.6,10.9,8.7,38.7,60,0.4871,0.6704,0.4948,0.0579,0.4025,30.3,6.7,6.9,0.6952,0.5005,0.6082,0.5833,12,2,2,1,1,1,25,80.4181,323.06,12270.6227,4.8658985022,5.7764445585,14.231244294,74.76751395,20.3,39.6,16.6,11,4002,NA,NA
17057,"Fulton County, Illinois",13.16,60599,6.66,17.35,37.99,0.49,31.28,18.47,3.7,39.9,23.1,13,9.2,16.8,67.9,25.8,10.5,8.8,39.2,59.4,0.2106,0.4343,0.0754,0.2109,0.2399,24.4,6.8,4.2,0.5375,0.4165,0.4294,0.5167,12,2,2,1,1,1,16.67,77.3554,174.66,8636.7355838,4.5911130246,5.6276572601,15.444716998,77.90965329000001,19,39.3,13.2,9,3214,NA,NA
17059,"Gallatin County, Illinois",13.58,59219,9.16,21.83,25.11,0.59,31.11,13.6,4.6,40.8,23,14.6,10.9,17.4,70.4,28.2,10.8,8.7,41.6,59.3,0.4521,0.4572,0.8078,0.0932,0.3408,29.3,7.8,2.9,0.6136,0.2769,0.6071,0.6,2,1,2,1,1,1,50,100,687.87,12280.223352,4.9369318898,5.9266432819,12.358393409,80.39122137,19.9,38.4,17,4,1725,NA,NA
17061,"Greene County, Illinois",14.26,62192,4.86,15.48,28.07,0.75,39.33,18.97,4.1,40.2,23.2,13.2,9.7,17.2,71,26.7,10.7,8.1,38.9,60.6,0.1044,0.2043,0.3996,0.0099,0.0592,23.4,3.4,5.5,0.5497,0.3796,0.4788,0.52,5,2,2,1,1,1,0,67.35,144.52,10189.970889,4.6129043411,5.7599498665,16.30761308,76.82764732,18.8,37.5,14.000000000000002,4,1898,NA,NA
17063,"Grundy County, Illinois",5.99,92235,4.57,10.93,38.17,1.05,30.24,23.57,3.4,36.4,22,10.3,6.4,13.3,74.7,22.3,10.1,8.3,32.3,63.7,0.0773,0.0865,0.2043,0.4518,0.0891,12.2,4.2,3.4,0.3045,0.6568,0.2397,0.06,10,0,0,1,1,0,10,87.4823,135.97,7576.1832311,3.8720132521,5.1943477297,8.6725363398,75.8114826,13.2,35.099999999999994,9.8,18,4430,NA,NA
17065,"Hamilton County, Illinois",12.08,65746,5.13,15.23,16.38,0.43,26.59,21.02,7.6,40,23.3,13.9,10.1,17,71.8,26.8,10.7,8.3,39.9,60.6,0.3029,0.4213,0.6507,0.0474,0.1794,25.2,4.4,7,0.6595,0.4153,0.5901,0.6,3,1,2,1,1,1,0,80.0606,295.36,8280.8720804,4.6658858139,5.7452348823,23.79759519,78.26865672,18.2,37.8,14.099999999999998,7,2238,NA,NA
17067,"Hancock County, Illinois",12.27,65865,4.22,13.27,35.51,0.5,29.58,25.11,5.7,38.8,22,13.2,9,14.7,70.6,25.2,10.3,7.3,39.6,66.6,0.0885,0.1285,0.5577,0.0474,0.0484,21.5,4.7,4.9,0.417,0.2241,0.4509,0.4571,7,2,2,1,1,1,42.86,92.8218,388.46,7757.556362,4.3395319436,5.4204817409,21.456738576,81.27744511,15.4,35.099999999999994,13.6,10,2051,NA,NA
